bh	bg	be	bd	bf	bc	ba	bb	az	ax	ay	a	d	b	c	aa	aw	e	z	ab	g	ar	f	ac	y	m	at	w	u	h	x	ad	q	n	au	t	o	v	k	p	ao	am	r	av	af	i	ag	as	aj	aq	ai	ah	s	l	ak	an	al	j	ae	ap	class
0.0057	0.0207	0.0177	0.0161	0.0194	0.0141	0.023	0.029	0.0444	0.0211	0.0361	0.0731	0.1496	0.1249	0.1665	0.4915	0.1474	0.1443	0.6521	0.5363	0.2555	0.0807	0.277	0.7649	0.8079	0.3249	0.2134	0.9734	0.2604	0.1712	0.9757	0.525	0.1796	0.2164	0.3241	0.181	0.2031	0.6572	0.1739	0.258	0.2837	0.2034	0.2422	0.2945	0.4219	0.0466	0.416	0.1192	0.4219	0.3178	0.0223	0.1906	0.3609	0.316	0.5496	0.2729	0.2483	0.1114	0.5101	0.4463	M
0.0112	0.0078	0.011	0.0185	0.0094	0.0187	0.0143	0.0226	0.0258	0.0171	0.0244	0.0164	0.0608	0.0627	0.0738	0.8499	0.0824	0.0233	0.6757	0.8025	0.1338	0.3202	0.1048	0.6563	0.6352	0.1788	0.1146	0.5469	0.5606	0.0644	0.6954	0.8591	0.3748	0.1039	0.0476	0.3508	0.198	0.5231	0.1791	0.3234	0.4627	0.1801	0.2586	0.0943	0.5369	0.1522	0.3118	0.2265	0.0875	0.2494	0.2801	0.3763	0.368	0.2681	0.3319	0.3743	0.4237	0.078	0.6655	0.1614	M
0.0085	0.0098	0.0095	0.0166	0.0225	0.0127	0.0143	0.0272	0.0376	0.0772	0.0798	0.0412	0.0232	0.1135	0.0518	0.7243	0.1794	0.0646	0.4606	0.8987	0.1787	0.4286	0.1124	0.8826	0.5091	0.3141	0.5777	0.4332	0.54	0.2407	0.6113	0.9201	0.4639	0.2904	0.4315	0.4079	0.3531	0.4786	0.1546	0.5079	0.5869	0.2545	0.1859	0.264	0.6033	0.2682	0.212	0.4894	0.2803	0.5826	0.4033	0.2866	0.4474	0.2671	0.3087	0.1432	0.355	0.2058	0.8005	0.6431	M
0.0218	0.0154	0.0133	0.0138	0.0131	0.0127	0.0197	0.0135	0.0156	0.0374	0.0291	0.0707	0.1644	0.1252	0.1447	0.7567	0.0983	0.1693	0.7131	0.8077	0.0715	0.3063	0.0844	0.8477	0.6695	0.2284	0.5692	0.5711	0.7464	0.0947	0.6257	0.9289	0.5386	0.3115	0.263	0.5961	0.4725	0.7644	0.234	0.5543	0.5331	0.2841	0.3746	0.1196	0.7995	0.1583	0.4362	0.5835	0.1712	0.4288	0.4952	0.4048	0.4583	0.1764	0.3652	0.0427	0.3763	0.1247	0.9513	0.6952	M
0.0208	0.0364	0.0132	0.0174	0.0103	0.0376	0.0149	0.0335	0.0339	0.027	0.038	0.0526	0.1206	0.0563	0.1219	0.6877	0.0546	0.0246	0.5423	0.7325	0.0539	0.5245	0.1022	0.7726	0.6534	0.3011	0.5123	0.6553	0.5562	0.0439	0.7384	0.8229	0.291	0.3361	0.3385	0.3404	0.3024	0.6379	0.2544	0.2285	0.5886	0.3776	0.1316	0.1499	0.9108	0.2291	0.6705	0.6149	0.4775	0.2577	0.7505	0.6092	0.1151	0.2807	0.1666	0.2106	0.3749	0.1632	0.8787	0.5628	M
0.0078	0.0074	0.002	0.0129	0.0109	0.012	0.0274	0.0152	0.0432	0.0355	0.0456	0.0516	0.0415	0.0944	0.0622	0.6131	0.0364	0.0995	0.5308	0.8388	0.1777	0.4403	0.2431	0.9031	0.51	0.4432	0.6214	0.7143	0.5187	0.2018	0.6814	0.8607	0.3252	0.3672	0.3016	0.3508	0.2035	0.7052	0.2646	0.2764	0.6935	0.1381	0.1536	0.1379	0.9168	0.2611	0.7132	0.6448	0.4134	0.5351	0.731	0.6898	0.2784	0.2778	0.158	0.296	0.1819	0.1294	0.9656	0.8246	M
0.0015	0.0115	0.0203	0.0046	0.013	0.0087	0.0277	0.0172	0.0459	0.0334	0.0342	0.0299	0.1021	0.0688	0.0992	0.4621	0.0698	0.08	0.467	0.6988	0.013	0.4567	0.0629	0.7626	0.4464	0.2655	0.5293	0.5534	0.3112	0.0813	0.4532	0.7025	0.3962	0.3099	0.3287	0.3045	0.352	0.4698	0.0523	0.3892	0.5657	0.178	0.2449	0.1283	0.7446	0.1761	0.7927	0.576	0.3042	0.4241	0.3967	0.5227	0.2355	0.0904	0.1309	0.1598	0.2408	0.0998	0.7382	0.6443	M
0.0129	0.0157	0.0092	0.0117	0.0147	0.0281	0.0127	0.0082	0.0309	0.0628	0.0234	0.0721	0.1085	0.1574	0.1112	0.8809	0.12	0.0666	0.6141	0.8375	0.1108	0.1359	0.18	0.3869	0.5825	0.3375	0.4442	0.8437	0.5342	0.2794	0.6756	0.5051	0.2282	0.161	0.2193	0.5167	0.1889	0.6298	0.2534	0.3308	0.525	0.5515	0.2177	0.09	0.4241	0.1408	0.1534	0.4268	0.7109	0.5251	0.6983	0.495	0.1853	0.392	0.5647	0.4433	0.487	0.0795	0.5455	0.6075	M
0.0106	0.0227	0.0177	0.0087	0.0214	0.0252	0.0317	0.0309	0.0709	0.0475	0.1004	0.1021	0.0627	0.083	0.0577	0.4722	0.1608	0.0635	0.4591	0.7278	0.0988	0.5508	0.1328	0.7591	0.4106	0.2796	0.7292	0.361	0.3184	0.1787	0.2566	0.6579	0.3956	0.2977	0.5522	0.3345	0.3823	0.2887	0.2509	0.3129	0.5109	0.3107	0.2093	0.3339	0.6666	0.1199	0.4903	0.5858	0.4014	0.7517	0.6552	0.5962	0.3218	0.2631	0.1188	0.1354	0.3245	0.1369	0.7514	0.7988	M
0.0098	0.0243	0.0355	0.0394	0.044	0.0447	0.0361	0.0239	0.021	0.0825	0.0243	0.0654	0.1132	0.0649	0.0737	0.83	0.1299	0.2482	0.875	0.6896	0.1797	0.4164	0.1257	0.3372	0.7756	0.4032	0.5649	0.8375	0.5248	0.0989	0.6699	0.6405	0.5954	0.5684	0.3195	0.8835	0.2398	0.6373	0.2128	0.4331	0.3924	0.6028	0.5772	0.2484	0.8202	0.246	0.6657	0.5438	0.0704	0.4602	0.296	0.5254	0.8176	0.1377	0.097	0.3521	0.3941	0.3422	0.7138	0.4808	M
0.0068	0.0095	0.0087	0.0048	0.0101	0.003	0.0156	0.0054	0.0154	0.0286	0.0154	0.0712	0.1497	0.0901	0.1276	0.7576	0.0565	0.1284	0.6607	0.5122	0.1285	0.1414	0.1165	0.4701	0.1773	0.4576	0.0734	0.5188	0.8958	0.1684	0.2811	0.5479	0.2579	0.5821	0.0805	0.6186	0.5027	0.7442	0.2891	0.193	0.1455	0.3001	0.3177	0.0608	0.1276	0.183	0.0846	0.0629	0.0998	0.3203	0.0313	0.0927	0.2745	0.3985	0.1781	0.2208	0.1586	0.2127	0.4347	0.2895	M
0.0099	0.007	0.0042	0.0121	0.009	0.0103	0.005	0.019	0.0033	0.0462	0.0171	0.0207	0.0818	0.0535	0.0334	0.5707	0.0911	0.074	0.5738	0.5976	0.0918	0.0925	0.0324	0.4301	0.6299	0.1247	0.34	0.8701	0.8159	0.107	0.6889	0.2058	0.1647	0.2577	0.2594	0.5356	0.337	1.0	0.1796	0.399	0.3674	0.1967	0.2266	0.1102	0.2247	0.1553	0.2308	0.2388	0.1726	0.0778	0.3317	0.3977	0.3219	0.1787	0.1429	0.214	0.2168	0.1234	0.1	0.2023	M
0.0011	0.0021	0.0078	0.0029	0.0047	0.0039	0.0014	0.0049	0.0096	0.0118	0.0133	0.0209	0.0445	0.0278	0.0115	0.1295	0.0115	0.0427	0.3172	0.0598	0.1458	0.0813	0.0766	0.2722	0.5557	0.1476	0.0417	0.908	0.9264	0.143	0.7435	0.3616	0.4784	0.1378	0.0495	0.7912	0.2584	1.0	0.1748	0.3827	0.1599	0.2654	0.536	0.0367	0.4855	0.1894	0.3936	0.0492	0.2489	0.059	0.0342	0.1845	0.6192	0.1556	0.3837	0.176	0.3514	0.1853	0.3293	0.0866	M
0.0092	0.0008	0.0052	0.0114	0.0091	0.0043	0.0036	0.0123	0.0125	0.0246	0.0151	0.0231	0.0226	0.0315	0.017	0.565	0.0455	0.041	0.5179	0.3042	0.0223	0.11	0.0116	0.1881	0.3952	0.1732	0.0303	0.7983	0.9921	0.0805	0.5426	0.396	0.682	0.3099	0.0674	0.8435	0.438	1.0	0.2245	0.5595	0.1046	0.2519	0.6164	0.0785	0.3544	0.2365	0.4187	0.0684	0.376	0.1991	0.1847	0.2398	0.6803	0.152	0.4331	0.187	0.3626	0.2461	0.2286	0.2339	M
0.0053	0.0029	0.003	0.0065	0.0066	0.0062	0.0086	0.0045	0.0168	0.023	0.0111	0.0131	0.0217	0.0201	0.0045	0.6255	0.0615	0.023	0.2924	0.8546	0.0742	0.3072	0.0481	0.8966	0.1934	0.1184	0.1545	0.8057	0.7352	0.0333	0.4898	0.7821	0.685	0.1891	0.1394	0.729	0.2949	0.7918	0.2295	0.5343	0.1195	0.4323	0.7923	0.0772	0.484	0.1369	0.4038	0.0945	0.2353	0.3702	0.2849	0.3411	0.822	0.199	0.2699	0.3314	0.4442	0.2079	0.5168	0.1669	M
0.0006	0.0078	0.0038	0.0061	0.0101	0.0025	0.0062	0.0026	0.0104	0.0201	0.0071	0.0233	0.0547	0.0394	0.0416	0.498	0.0596	0.0993	0.4716	0.6196	0.1674	0.1502	0.1515	0.7171	0.5103	0.1771	0.1058	0.9067	1.0	0.1513	0.6803	0.6316	0.7655	0.3115	0.1111	1.0	0.499	0.9992	0.1239	0.6707	0.2045	0.0436	0.8485	0.0849	0.2897	0.1723	0.4316	0.1675	0.0944	0.0834	0.2421	0.3791	0.9805	0.0236	0.0351	0.113	0.0844	0.2078	0.3554	0.1937	M
0.0052	0.0026	0.002	0.0029	0.0062	0.0013	0.0029	0.002	0.0053	0.0084	0.0039	0.0117	0.0583	0.0069	0.0279	0.6934	0.0305	0.0915	0.5395	0.8487	0.1577	0.1721	0.1267	0.8213	0.5067	0.2782	0.1787	0.8705	0.9615	0.1927	0.6403	0.5962	0.7071	0.3758	0.1112	0.8593	0.5093	0.9838	0.118	0.6592	0.2318	0.0894	0.7532	0.0398	0.2758	0.2361	0.2885	0.2017	0.0955	0.1035	0.1446	0.1893	0.8357	0.0754	0.0888	0.1547	0.0836	0.2169	0.295	0.2225	M
0.0015	0.0051	0.0024	0.0031	0.0039	0.0049	0.0023	0.0047	0.0117	0.0134	0.0174	0.0211	0.045	0.0128	0.0015	0.2571	0.0449	0.0711	0.329	0.3685	0.1518	0.1776	0.1563	0.5765	0.3439	0.1227	0.0765	0.7851	0.9162	0.1206	0.5134	0.619	0.7435	0.2614	0.0727	0.9603	0.428	0.914	0.0785	0.6122	0.1644	0.1523	0.813	0.0749	0.3615	0.1666	0.4434	0.2	0.2138	0.1313	0.3093	0.3864	0.9006	0.0367	0.1112	0.0996	0.1386	0.1345	0.4613	0.1902	M
0.0029	0.0002	0.006	0.0068	0.0045	0.0039	0.0126	0.0069	0.0095	0.0251	0.0129	0.0047	0.0554	0.0059	0.008	0.9395	0.099	0.0883	0.8938	0.9493	0.1674	0.4921	0.1278	0.904	0.7906	0.2301	0.3196	0.5268	0.1557	0.1373	0.674	0.9151	0.1928	0.1253	0.2241	0.0902	0.2102	0.3291	0.3265	0.2401	0.4546	0.4144	0.1673	0.1806	0.8086	0.2922	0.718	0.471	0.6879	0.4323	0.6447	0.672	0.1228	0.3263	0.6241	0.424	0.4936	0.3469	0.8828	0.4392	M
0.0036	0.0048	0.0083	0.0092	0.002	0.0102	0.0049	0.0104	0.0131	0.0414	0.0253	0.0201	0.0232	0.0178	0.0274	0.8787	0.1085	0.0724	0.7576	0.906	0.1232	0.5762	0.0833	0.8528	0.6926	0.2959	0.4042	0.4333	0.0521	0.1298	0.5943	0.9087	0.18	0.2059	0.3123	0.1506	0.0906	0.2143	0.2188	0.161	0.5841	0.5774	0.218	0.2232	0.9306	0.2085	0.7774	0.5013	0.6884	0.4911	0.6604	0.6643	0.2026	0.3037	0.6938	0.6223	0.5932	0.272	0.9657	0.4527	M
0.0036	0.0017	0.0072	0.0097	0.006	0.0021	0.012	0.0113	0.0164	0.0261	0.0079	0.0107	0.0713	0.0453	0.0289	0.9252	0.0941	0.1075	0.7825	0.9349	0.1606	0.5379	0.1019	0.9348	0.5734	0.2456	0.2674	0.3239	0.0576	0.2119	0.4357	1.0	0.2736	0.1887	0.1541	0.126	0.1184	0.1241	0.3104	0.208	0.434	0.4731	0.3274	0.1359	0.8478	0.3061	0.7605	0.4485	0.799	0.4837	0.7539	0.704	0.2344	0.3431	0.7673	0.484	0.5955	0.2936	0.9308	0.3954	M
0.0021	0.0027	0.0057	0.0023	0.0052	0.0058	0.0152	0.0083	0.0221	0.0225	0.0214	0.0235	0.0516	0.022	0.0167	0.8406	0.0933	0.0746	0.7545	0.8547	0.1258	0.495	0.1121	0.9036	0.5771	0.251	0.2404	0.2046	0.1624	0.1717	0.3791	1.0	0.3635	0.1806	0.1128	0.2219	0.1413	0.1343	0.2946	0.3019	0.4433	0.6295	0.3887	0.1654	0.7912	0.3074	0.6412	0.4373	0.7771	0.3795	0.6835	0.5986	0.298	0.2484	0.8084	0.5708	0.7426	0.3199	0.9646	0.3361	M
0.005	0.0048	0.0031	0.0079	0.0063	0.0045	0.0062	0.0019	0.0091	0.0265	0.0121	0.0258	0.0681	0.0433	0.0547	0.9941	0.0884	0.0784	0.8959	0.9957	0.1296	0.4557	0.125	0.9328	0.7531	0.2249	0.2966	0.4824	0.0625	0.1729	0.6372	0.9344	0.1794	0.2115	0.2095	0.074	0.127	0.2381	0.2506	0.1193	0.4325	0.3129	0.2185	0.1558	0.769	0.2794	0.6865	0.3955	0.6629	0.4201	0.6378	0.639	0.1646	0.2601	0.5983	0.4158	0.4565	0.2954	0.8854	0.4031	M
0.0021	0.0055	0.0074	0.0089	0.0042	0.0086	0.007	0.007	0.02	0.0424	0.0271	0.0305	0.0227	0.0363	0.0214	0.8543	0.1427	0.0456	0.7474	0.9085	0.0939	0.5772	0.0665	0.8668	0.6577	0.2419	0.4803	0.4039	0.0512	0.0972	0.5697	0.8892	0.0886	0.2179	0.3877	0.154	0.1159	0.1805	0.2192	0.1237	0.5597	0.5725	0.1755	0.2779	0.8522	0.2535	0.7204	0.5907	0.6848	0.5027	0.6253	0.62	0.1758	0.2621	0.7337	0.6119	0.6281	0.3127	0.9065	0.4965	M
0.0032	0.0022	0.0029	0.0049	0.0022	0.0026	0.0067	0.0011	0.0123	0.0222	0.0205	0.0217	0.0346	0.0152	0.0346	0.8189	0.0769	0.0484	0.8912	0.6779	0.0773	0.3021	0.0526	0.5368	0.9104	0.1645	0.179	0.7717	0.5116	0.0862	0.8491	0.5207	0.2934	0.1689	0.1689	0.4161	0.165	0.6501	0.2343	0.1967	0.4467	0.2694	0.3709	0.1341	0.5749	0.1451	0.525	0.2069	0.2331	0.3743	0.333	0.4255	0.4309	0.2087	0.1451	0.373	0.1648	0.211	0.5651	0.4133	M
0.0037	0.0012	0.0037	0.0064	0.0036	0.0034	0.0071	0.0081	0.0078	0.0131	0.0092	0.0072	0.0061	0.0027	0.0089	0.6055	0.0392	0.042	0.846	0.3036	0.1182	0.2323	0.0865	0.0144	1.0	0.2126	0.1457	0.8974	0.6753	0.0999	0.9828	0.2526	0.4221	0.0708	0.1175	0.6153	0.1194	0.7873	0.2472	0.2808	0.2575	0.1878	0.5279	0.0868	0.4918	0.1976	0.5409	0.1724	0.3777	0.2706	0.5248	0.5961	0.5857	0.288	0.2369	0.325	0.172	0.2318	0.4335	0.2423	M
0.0033	0.0083	0.0084	0.002	0.0108	0.0083	0.0026	0.0031	0.0077	0.0493	0.0027	0.0163	0.0386	0.0198	0.0202	0.2908	0.1219	0.0752	0.5698	0.4636	0.1487	0.1723	0.1444	0.6409	0.714	0.3927	0.2764	0.8697	0.7894	0.1484	0.7836	0.7405	0.3446	0.3308	0.1985	0.7276	0.1085	0.8264	0.3691	0.1139	0.7664	0.6356	0.5441	0.1502	0.842	0.2442	1.0	0.2814	0.3905	0.2614	0.6755	0.9536	0.647	0.375	0.1249	0.8116	0.3629	0.2822	0.8069	0.5417	M
0.0038	0.0074	0.0016	0.0058	0.007	0.0075	0.0051	0.0015	0.0089	0.0216	0.0167	0.0221	0.0487	0.0065	0.0164	0.4969	0.0764	0.0519	0.8045	0.396	0.0812	0.0816	0.0849	0.3856	0.9655	0.2624	0.0785	0.944	0.8099	0.1833	0.945	0.5574	0.4274	0.1893	0.1052	0.7686	0.0668	0.8493	0.2549	0.2666	0.5177	0.3607	0.6291	0.1034	0.8549	0.2228	0.9425	0.0395	0.4694	0.224	0.6673	0.8726	0.7782	0.2984	0.1546	0.5208	0.1748	0.181	0.7309	0.3702	M
0.0044	0.0085	0.0108	0.0132	0.005	0.0065	0.0038	0.0019	0.0217	0.0327	0.0181	0.0411	0.0525	0.0277	0.0604	0.3892	0.1259	0.0489	0.3562	0.6622	0.0611	0.3137	0.0385	0.9254	0.3452	0.2137	0.4262	0.3622	0.2836	0.1117	0.3202	1.0	0.0903	0.1526	0.3511	0.2975	0.0775	0.3353	0.137	0.1196	0.4973	0.6147	0.0689	0.2458	0.6297	0.1237	0.525	0.4282	0.2007	0.2662	0.2901	0.4012	0.2071	0.1335	0.3356	0.6246	0.4799	0.23	0.8528	0.3492	M
0.0033	0.0043	0.0067	0.0058	0.0035	0.0036	0.004	0.0025	0.0081	0.0276	0.0169	0.0137	0.0082	0.0297	0.0116	0.9089	0.0922	0.0241	0.7367	1.0	0.0279	0.4016	0.0253	0.8247	0.5424	0.1094	0.347	0.5875	0.581	0.013	0.4639	0.5441	0.1313	0.1023	0.2739	0.5269	0.0601	0.6181	0.11	0.0906	0.2355	0.6795	0.2758	0.179	0.0877	0.0489	0.16	0.4125	0.739	0.2728	0.6576	0.4169	0.366	0.1084	0.7963	0.4713	0.7493	0.0874	0.3349	0.1704	M
0.0047	0.0032	0.0013	0.0029	0.001	0.0036	0.0075	0.0089	0.0108	0.0122	0.0045	0.0015	0.0195	0.0186	0.0289	1.0	0.0289	0.0515	0.9945	0.9649	0.1005	0.3693	0.0817	0.8747	0.8949	0.2354	0.2226	0.8609	0.742	0.0124	0.84	0.6257	0.3685	0.1334	0.0849	0.626	0.0092	0.8257	0.2118	0.1951	0.2674	0.4513	0.4646	0.0359	0.2945	0.1168	0.3645	0.2986	0.9361	0.3141	0.7843	0.5012	0.5418	0.2575	0.8195	0.3004	0.6207	0.1476	0.2184	0.2241	M
0.0026	0.0033	0.0011	0.0058	0.0009	0.0035	0.01	0.0018	0.0084	0.0116	0.0024	0.013	0.0624	0.012	0.0436	0.9964	0.0292	0.0428	0.9137	1.0	0.0384	0.3659	0.0349	0.8881	0.7758	0.2112	0.1714	0.7136	0.6663	0.0446	0.7014	0.6585	0.3052	0.1444	0.0694	0.5933	0.0742	0.7333	0.2026	0.1533	0.3508	0.4708	0.4116	0.0303	0.1746	0.1318	0.2709	0.2846	0.8209	0.3524	0.7184	0.4853	0.5466	0.2389	0.7536	0.3482	0.6496	0.1375	0.2707	0.3181	M
0.0041	0.0027	0.0042	0.0008	0.0024	0.0016	0.0048	0.0047	0.0094	0.0099	0.0046	0.0134	0.0363	0.0172	0.0178	0.9454	0.0286	0.0444	0.9321	0.8645	0.08	0.4542	0.0744	0.722	0.8587	0.2523	0.2525	0.7978	0.6508	0.0456	0.7786	0.485	0.2353	0.1472	0.1084	0.5167	0.0669	0.7793	0.2405	0.11	0.2642	0.4276	0.3282	0.0372	0.2951	0.0368	0.4715	0.396	0.987	0.4335	0.8083	0.6036	0.4416	0.2325	0.88	0.2702	0.6411	0.125	0.1357	0.3342	M
0.0085	0.016	0.0081	0.0126	0.0155	0.0111	0.006	0.0187	0.0123	0.0219	0.0086	0.0179	0.0633	0.0136	0.0408	0.8694	0.0355	0.0596	0.8084	0.8411	0.209	0.2267	0.0808	0.5793	0.8729	0.3693	0.1211	0.8601	0.855	0.3465	0.9201	0.3754	0.1785	0.2864	0.0883	0.8097	0.1635	0.8717	0.6254	0.0422	0.2605	0.3762	0.4394	0.085	0.4639	0.5276	0.6495	0.1577	0.5188	0.1875	0.5666	0.6901	0.695	0.4507	0.506	0.3738	0.3885	0.5965	0.3485	0.1591	M
0.0022	0.0073	0.0026	0.0025	0.005	0.0027	0.0114	0.0098	0.0122	0.0117	0.0122	0.018	0.0698	0.0444	0.0476	1.0	0.0241	0.1615	0.8172	0.9238	0.0596	0.2096	0.0887	0.8519	0.4974	0.3033	0.0798	0.2432	0.696	0.1071	0.2886	0.7722	0.2803	0.2587	0.0701	0.7683	0.1682	0.4393	0.3273	0.1308	0.3648	0.3359	0.4519	0.0526	0.519	0.3175	0.6824	0.1031	0.3578	0.3453	0.5054	0.622	0.6641	0.3035	0.3809	0.2771	0.3813	0.2918	0.5772	0.3834	M
0.0074	0.0053	0.0016	0.0053	0.0042	0.0015	0.0151	0.0059	0.0095	0.0124	0.0104	0.0329	0.0627	0.0216	0.0386	0.9564	0.0108	0.1158	1.0	0.609	0.2054	0.0953	0.1482	0.5112	0.7115	0.2314	0.0825	0.5646	0.4539	0.1605	0.5281	0.4	0.4423	0.2067	0.0618	0.5844	0.1804	0.4789	0.3056	0.2808	0.3859	0.3648	0.5947	0.0141	0.1852	0.2532	0.2186	0.1201	0.1428	0.1238	0.1757	0.1436	0.6601	0.3161	0.1644	0.4441	0.3089	0.2672	0.0482	0.2813	M
0.0068	0.0114	0.011	0.0132	0.0122	0.0172	0.0136	0.0137	0.004	0.0267	0.0125	0.0191	0.0301	0.0173	0.0291	0.8237	0.06	0.0463	0.9161	0.6957	0.0576	0.3387	0.069	0.4536	0.9932	0.4393	0.3639	1.0	0.7271	0.1103	0.9831	0.3281	0.442	0.344	0.2069	0.5006	0.2869	0.9385	0.4786	0.3889	0.3231	0.5683	0.3892	0.0859	0.3964	0.2423	0.4154	0.413	0.1923	0.3131	0.1445	0.3308	0.4088	0.5239	0.3208	0.5505	0.3367	0.3134	0.2522	0.0448	M
0.0043	0.0081	0.0015	0.0054	0.0006	0.0014	0.0104	0.0079	0.0056	0.0059	0.0041	0.0294	0.0113	0.0123	0.0117	1.0	0.0112	0.0497	0.9985	0.7544	0.1326	0.4646	0.0998	0.4661	0.9138	0.5237	0.2581	0.8449	0.7044	0.1117	0.8512	0.3924	0.3286	0.4398	0.1319	0.6339	0.3236	0.8314	0.4231	0.2956	0.0541	0.2863	0.3231	0.0505	0.4674	0.2984	0.4245	0.4366	0.2885	0.3459	0.0752	0.3095	0.4528	0.5044	0.4072	0.2634	0.317	0.3473	0.3849	0.1874	M
0.0051	0.004	0.0086	0.0095	0.0085	0.0072	0.0025	0.0087	0.0048	0.0086	0.0154	0.0635	0.0333	0.0709	0.0453	0.9822	0.0311	0.0185	0.9662	0.736	0.1015	0.4726	0.126	0.4158	1.0	0.5506	0.1423	0.8688	0.7702	0.1918	0.9236	0.2918	0.3975	0.4343	0.039	0.7198	0.3052	0.8562	0.4674	0.3492	0.122	0.1817	0.3875	0.0406	0.369	0.3362	0.345	0.3263	0.3724	0.4461	0.0864	0.2863	0.528	0.5632	0.4649	0.1142	0.3488	0.39	0.328	0.2621	M
0.0036	0.0082	0.0056	0.0035	0.0105	0.0109	0.0057	0.0137	0.0054	0.0152	0.0125	0.0201	0.033	0.0165	0.0344	0.9673	0.0233	0.0397	1.0	0.8664	0.0684	0.157	0.0443	0.7896	0.9637	0.3603	0.1294	0.8864	0.7209	0.0903	0.952	0.6345	0.1801	0.3002	0.0797	0.5492	0.2718	0.8318	0.2931	0.2007	0.1921	0.3765	0.2234	0.0052	0.4056	0.1739	0.2563	0.066	0.4296	0.1984	0.3588	0.2894	0.3568	0.3108	0.4773	0.3051	0.4516	0.2571	0.5351	0.1184	M
0.0054	0.0047	0.0041	0.0072	0.0045	0.0058	0.0097	0.0042	0.0134	0.0057	0.0091	0.0197	0.0076	0.0394	0.0384	0.8847	0.0369	0.0251	0.7984	0.9582	0.0747	0.0255	0.0629	0.899	0.7853	0.3141	0.0691	0.6448	0.4282	0.0578	0.7223	0.6831	0.1162	0.3297	0.0781	0.3926	0.2759	0.5418	0.1734	0.2056	0.3009	0.3326	0.1884	0.0777	0.548	0.1357	0.5058	0.0298	0.1405	0.1206	0.2401	0.4476	0.339	0.247	0.1772	0.4021	0.1742	0.1695	0.6108	0.2075	M
0.0087	0.0053	0.0101	0.0062	0.0068	0.0032	0.004	0.0114	0.0146	0.005	0.0118	0.0394	0.0551	0.042	0.0446	0.7373	0.0588	0.0597	0.6767	0.7834	0.0956	0.0926	0.1416	0.9619	0.7745	0.34	0.0566	0.7007	0.6474	0.0802	0.7619	1.0	0.2086	0.3951	0.0766	0.4578	0.3352	0.6708	0.3078	0.2252	0.3454	0.2287	0.2248	0.0969	0.5558	0.1618	0.5409	0.1173	0.2897	0.324	0.3108	0.4988	0.3382	0.3404	0.2244	0.3228	0.096	0.2558	0.8086	0.3882	M
0.0054	0.0067	0.0015	0.0037	0.0056	0.0079	0.0059	0.0053	0.0204	0.0089	0.0249	0.031	0.0191	0.0221	0.0433	0.8686	0.0783	0.0964	0.7288	0.9509	0.1106	0.4494	0.1827	0.8348	0.7152	0.5379	0.2001	0.76	0.8202	0.1702	0.7616	0.573	0.2297	0.4048	0.0775	0.6898	0.2245	0.878	0.5222	0.1784	0.1491	0.5173	0.272	0.1232	0.4289	0.2804	0.424	0.4624	0.1477	0.3415	0.1287	0.3156	0.5209	0.5611	0.2062	0.5168	0.24	0.4432	0.4363	0.2407	M
0.0017	0.0043	0.0056	0.0075	0.0021	0.0121	0.0035	0.0093	0.0176	0.0356	0.0367	0.0423	0.0108	0.0321	0.0709	0.9911	0.1271	0.107	0.8412	0.9187	0.0961	0.5663	0.0973	0.8005	0.5984	0.3682	0.3593	0.5824	0.6802	0.1323	0.6805	0.6713	0.2825	0.394	0.2526	0.542	0.2965	0.632	0.3412	0.3172	0.5046	0.5756	0.305	0.2299	0.7332	0.2462	0.6038	0.5749	0.1799	0.6163	0.0349	0.2575	0.2408	0.4292	0.3039	0.4254	0.476	0.2696	0.5632	0.7179	M
0.0033	0.0031	0.0042	0.004	0.003	0.0133	0.0019	0.0102	0.0181	0.0251	0.0357	0.0095	0.0411	0.0308	0.0539	0.9819	0.1054	0.0613	0.8614	0.938	0.1016	0.4831	0.1039	0.8435	0.6484	0.5404	0.1952	0.5703	0.765	0.1394	0.5995	0.6074	0.3426	0.4303	0.1539	0.6833	0.3333	0.667	0.4229	0.3496	0.3051	0.5716	0.2851	0.2037	0.689	0.2592	0.5977	0.5084	0.3157	0.4302	0.0516	0.3244	0.4062	0.4499	0.359	0.4314	0.3881	0.3745	0.5403	0.4393	M
0.0018	0.0043	0.0109	0.0012	0.0036	0.017	0.0078	0.0144	0.0237	0.0134	0.031	0.0096	0.0688	0.0404	0.0682	1.0	0.0947	0.0887	0.8688	0.9941	0.0955	0.4921	0.0932	0.8793	0.7748	0.4901	0.2216	0.6665	0.8147	0.214	0.6958	0.6482	0.3068	0.4127	0.1401	0.7264	0.3575	0.8103	0.4025	0.3447	0.2613	0.6281	0.2945	0.1888	0.6408	0.2546	0.4972	0.5294	0.3356	0.4806	0.03	0.2755	0.4351	0.5148	0.3167	0.4977	0.4133	0.2952	0.5876	0.4697	M
